Country;Capital City;Latitude;Longitude;Population (thousands)
Afghanistan;Kabul;34.528887;69.17246;4436.255
Albania;Tirana (Tirana);41.3275;19.81889;444.58
Algeria;El Djazair (Algiers);36.7525;3.04197;2559.445
American Samoa;Pago Pago;-14.27806;-170.7025;48.274
Andorra;Andorra la Vella;42.50779;1.52109;23.449
Angola;Luanda;-8.83682;13.23432;5288.267
Anguilla;The Valley;18.21704;-63.05783;1.039
Antigua and Barbuda;St. John's;17.11717;-61.84573;21.989
Argentina;Buenos Aires;-34.605083;-58.400368;15023.811
Armenia;Yerevan;40.181998;44.514619;1048.641
Aruba;Oranjestad;12.52398;-70.02703;29.041
Australia;Canberra;-35.28346;149.12807;414.684
Austria;Wien (Vienna);48.206443;16.370725;1743.284
Azerbaijan;Baku;40.37767;49.89201;2317.14
Bahamas;Nassau;25.05823;-77.34306;266.765
Bahrain;Al-Manamah (Manama);26.21536;50.5832;397.623
Bangladesh;Dhaka;23.7104;90.40744;16982.363
Barbados;Bridgetown;13.1;-59.61667;90.265
Belarus;Minsk;53.9;27.56667;1905.252
Belgium;Bruxelles-Brussel;50.846735;4.349919;2028.657
Belize;Belmopan;17.25;-88.76667;16.921
Benin;Cotonou;6.36536;2.41833;680.285
Benin;Porto-Novo;6.49646;2.60359;268.057
Bermuda;Hamilton;32.29149;-64.77797;10.334
Bhutan;Thimphu;27.46609;89.64191;152.398
Bolivia (Plurinational State of);La Paz;-16.5;-68.15;1800.308
Bolivia (Plurinational State of);Sucre;-19.03332;-65.26274;358.337
Bosnia and Herzegovina;Sarajevo;43.84864;18.35644;321.714
Botswana;Gaborone;-24.65451;25.90859;246.562
Brazil;Brasilia;-15.77972;-47.92972;4073.717
British Virgin Islands;Road Town;18.41667;-64.61667;13.102
Brunei Darussalam;Bandar Seri Begawan;4.94029;114.94806;14.025
Bulgaria;Sofia;42.69751;23.32415;1221.933
Burkina Faso;Ouagadougou;12.36423;-1.53834;2565.194
Burundi;Bujumbura;-3.3822;29.3644;707.191
Cabo Verde;Praia;14.92148;-23.50868;144.648
Cambodia;Phnum Penh (Phnom Penh);11.56245;104.91601;1684.308
Cameroon;Yaounde;3.86667;11.51667;2930.167
Canada;Ottawa-Gatineau;45.416598;-75.697997;1305.811
Caribbean Netherlands;Kralendijk;12.15;-68.26667;14.592
Cayman Islands;George Town;19.2866;-81.37436;30.603
Central African Republic;Bangui;4.36122;18.55496;780.825
Chad;N'Djamena;12.10672;15.0444;1212.075
Channel Islands;St. Helier;49.188;-2.1049;35.102
Channel Islands;St. Peter Port;49.4598;-2.5353;16.132
Chile;Santiago;-33.45694;-70.64827;6471.801
China;Beijing;39.9075;116.39723;19520.33
China. Hong Kong SAR;Hong Kong;22.279588;114.188697;7259.569
China. Macao SAR;Macao;22.20056;113.54611;575.481
Colombia;Bogota;4.60971;-74.08175;9557.599
Comoros;Moroni;-11.70216;43.25506;55.872
Congo;Brazzaville;-4.26583;15.28318;1826.886
Cook Islands;Rarotonga;-21.23;-159.76;15.398
Costa Rica;San Jose;9.927817;-84.080685;1159.505
Cote d'Ivoire;Abidjan;5.345339;-4.026789;4707.564
Côte d'Ivoire;Yamoussoukro;6.82055;-5.27674;258.962
Croatia;Zagreb;45.81444;15.97798;687.007
Cuba;La Habana (Havana);23.119541;-82.378493;2146.128
Curacao;Willemstad;12.1084;-68.93354;144.73
Cyprus;Lefkosia (Nicosia);35.159506;33.366929;251.142
Czech Republic;Praha (Prague);50.08804;14.42076;1302.883
Dem. People's Republic of Korea;P'yongyang;39.03385;125.75432;2856.046
Democratic Republic of the Congo;Kinshasa;-4.32758;15.31357;11116.133
Denmark;Kobenhavn (Copenhagen);55.67594;12.56553;1254.808
Djibouti;Djibouti;11.58767;43.14468;521.84
Dominica;Roseau;15.30174;-61.38808;14.994
Dominican Republic;Santo Domingo;18.489591;-69.901805;2872.818
Ecuador;Quito;-0.22985;-78.52495;1699.145
Egypt;Al-Qahirah (Cairo);30.039173;31.239411;18419.138
El Salvador;San Salvador;13.68935;-89.18718;1096.531
Equatorial Guinea;Malabo;3.75;8.78333;145.077
Eritrea;Asmara;15.33333;38.93333;774.558
Estonia;Tallinn;59.43696;24.75353;391.713
Ethiopia;Addis Ababa;9.02497;38.74689;3168.043
Falkland Islands (Malvinas);Stanley;-51.701172;-57.849351;2.312
Faroe Islands;Torshavn;62.00973;-6.77164;20.646
Fiji;Suva;-18.14161;178.44149;176.397
Finland;Helsinki;60.169246;24.940216;1169.903
